InventoryItem,Parent
EVA (Cooking Oil  liter Pkt),White Soup
EVA (Cooking Oil  liter Pkt),Mayonnaise
EGG ,Mayonnaise
BLACK PEPPER POWDER,Mayonnaise
SALT,Mayonnaise
WHITE SUGAR,Mayonnaise
VINEGAR,Mayonnaise
MUSTARD POWDER,Mayonnaise
SALT,CHICKEN CORN SOUP 
CHICKEN BONELESS,CHICKEN CORN SOUP 
BHUTTA CORN,CHICKEN CORN SOUP 
BLACK PEPPER POWDER,CHICKEN CORN SOUP 
WHITE PEPPER POWDER,CHICKEN CORN SOUP 
SPRING ONION - LILY PIYAZ,CHICKEN CORN SOUP 
COCONUT MILK POWDER,CHICKEN CORN SOUP 
CHICKEN CUBES (51 GRMS),CHICKEN CORN SOUP 
CUMMIN SEEDS - ZEERA,Chicken Tarkari
CUMMIN POWDER - ZEERA,Chicken Tarkari
TURMERIC POWDER - HALDI,Chicken Tarkari
CORIANDER POWDER - DHANIA,Chicken Tarkari
CHICKEN POWDER,Chicken Tarkari
 DAHI CURD,Chicken Tarkari
SALT,Chicken Tarkari
CHAT MASALA,Chicken Tarkari
ONION BIRISTA,Chicken Tarkari
ONION,Chicken Tarkari
TOMATO,Chicken Tarkari
EVA (Cooking Oil  liter Pkt),Chicken Tarkari
GINGER PASTE  ADRAK PASTE,Chicken Tarkari
GARLIC PASTE  LEHSAN PASTE,Chicken Tarkari
CHICKEN KARAHI CUT MEAT,Chicken Tarkari
SALT,Mutton Kari Tarkari
MUTTON BOTI CUT,Mutton Kari Tarkari
KARI MASALA,Mutton Kari Tarkari
CUMMIN SEEDS - ZEERA,Mutton Kari Tarkari
CUMMIN POWDER - ZEERA,Mutton Kari Tarkari
CORIANDER POWDER - DHANIA,Mutton Kari Tarkari
Cream Nestle pkt,Mutton Kari Tarkari
Kajju,Mutton Kari Tarkari
GARLIC PASTE  LEHSAN PASTE,Mutton Kari Tarkari
EVA (Cooking Oil  liter Pkt),Mutton Kari Tarkari
 DAHI CURD,Mutton Kari Tarkari
TAMARIND - AAMLI,Mutton Kari Tarkari
SUNT - GINGER ADRAK POWDER,Mutton Kari Tarkari
COCONUT POWDER KHOPRRA,Mutton Kari Tarkari
Badiyan,Mutton Kari Tarkari
CHICKEN POWDER,Mutton Kari Tarkari
ONION,Mutton Kari Tarkari
Coconut Cream Powder,Mutton Kari Tarkari
CORIANDER - KOTHMIR DHANIA,Mutton Kari Tarkari
GINGER PASTE  ADRAK PASTE,Mutton Kari Tarkari
SALT,CHANNA BATETA SALAD PLAIN
CHANNA WHOLE,CHANNA BATETA SALAD PLAIN
RED POTATO - LAL ALOO,CHANNA BATETA SALAD PLAIN
TOMATO,CHANNA BATETA SALAD PLAIN
CHAT MASALA,CHANNA BATETA SALAD PLAIN
VINEGAR,CHANNA BATETA SALAD PLAIN
BLACK PEPPER POWDER,CHANNA BATETA SALAD PLAIN
WHITE PEPPER POWDER,CHANNA BATETA SALAD PLAIN
TAMARIND - AAMLI,CHANNA BATETA SALAD PLAIN
CORIANDER - KOTHMIR DHANIA,CHANNA BATETA SALAD PLAIN
Rose Essence,Kalamro
Fresh Milk,Kalamro
Cream Nestle pkt,Kalamro
Kajju,Kalamro
BASMATI RICE,Kalamro
 DAHI CURD,Kalamro
ALMOND WHOLE,Kalamro
SULTANAS - KISHMISH (BLACK),Kalamro
SWEETENED MILK (390 grm) ,Kalamro
WHITE SUGAR,Kalamro
Bread,OLD CALCULATION VEGETABLE SANDWICH
BUTTER,OLD CALCULATION VEGETABLE SANDWICH
TOMATO,OLD CALCULATION VEGETABLE SANDWICH
CUCUMBER - KEHRA,OLD CALCULATION VEGETABLE SANDWICH
CARROT - GAJAR,OLD CALCULATION VEGETABLE SANDWICH
RED POTATO - LAL ALOO,OLD CALCULATION VEGETABLE SANDWICH
GARLIC PASTE  LEHSAN PASTE,OLD CALCULATION VEGETABLE SANDWICH
GINGER PASTE  ADRAK PASTE,OLD CALCULATION VEGETABLE SANDWICH
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,OLD CALCULATION VEGETABLE SANDWICH
FRENCH BEANS - FANSI,OLD CALCULATION VEGETABLE SANDWICH
EVA (Cooking Oil  liter Pkt),OLD CALCULATION VEGETABLE SANDWICH
CHICKEN POWDER,OLD CALCULATION VEGETABLE SANDWICH
CUMMIN SEEDS - ZEERA,OLD CALCULATION VEGETABLE SANDWICH
BLACK PEPPER POWDER,OLD CALCULATION VEGETABLE SANDWICH
WHITE PEPPER POWDER,OLD CALCULATION VEGETABLE SANDWICH
Haleem Mix Loose,CHICKEN HALEEM 
CUMMIN SEEDS - ZEERA,CHICKEN HALEEM 
CUMMIN POWDER - ZEERA,CHICKEN HALEEM 
TURMERIC POWDER - HALDI,CHICKEN HALEEM 
CORIANDER POWDER - DHANIA,CHICKEN HALEEM 
CHICKEN POWDER,CHICKEN HALEEM 
CHOTI MIRCH GREEN CHILLI,CHICKEN HALEEM 
CORIANDER - KOTHMIR DHANIA,CHICKEN HALEEM 
PODINA MINT LEAVES,CHICKEN HALEEM 
GINGER - ADRAK,CHICKEN HALEEM 
LEMON,CHICKEN HALEEM 
CHICKEN BONELESS,CHICKEN HALEEM 
CHAT MASALA,CHICKEN HALEEM 
SAUF FENNEL SAUF POWDER,CHICKEN HALEEM 
SALT,CHICKEN HALEEM 
ONION BIRISTA,CHICKEN HALEEM 
SUNT - GINGER ADRAK POWDER,CHICKEN HALEEM 
EVA (Cooking Oil  liter Pkt),CHICKEN HALEEM 
GINGER PASTE  ADRAK PASTE,CHICKEN HALEEM 
GARLIC PASTE  LEHSAN PASTE,CHICKEN HALEEM 
SELA RICE,SHELA RICE 
EVA (Cooking Oil  liter Pkt),SHELA RICE 
CUMMIN SEEDS - ZEERA,SHELA RICE 
CHANNA DAAL BROKEN,CHANA DAAL FRY
ONION,CHANA DAAL FRY
TOMATO,CHANA DAAL FRY
GINGER - ADRAK,CHANA DAAL FRY
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,CHANA DAAL FRY
GARLIC - LEHSAN,CHANA DAAL FRY
EVA (Cooking Oil  liter Pkt),CHANA DAAL FRY
DUDHI LOKHI,CHANA DAAL FRY
CUMMIN SEEDS - ZEERA,CHANA DAAL FRY
CUMMIN POWDER - ZEERA,CHANA DAAL FRY
CORIANDER POWDER - DHANIA,CHANA DAAL FRY
GARAM MASALA POWDER,CHANA DAAL FRY
CHICKEN POWDER,CHANA DAAL FRY
SELA RICE,MIX VEGETABLE BIRYANI (SABZI)
CUMMIN SEEDS - ZEERA,MIX VEGETABLE BIRYANI (SABZI)
CUMMIN POWDER - ZEERA,MIX VEGETABLE BIRYANI (SABZI)
TURMERIC POWDER - HALDI,MIX VEGETABLE BIRYANI (SABZI)
CORIANDER POWDER - DHANIA,MIX VEGETABLE BIRYANI (SABZI)
GARAM MASALA POWDER,MIX VEGETABLE BIRYANI (SABZI)
CAULIFLOWER - GOBI,MIX VEGETABLE BIRYANI (SABZI)
MATTAR PEAS,MIX VEGETABLE BIRYANI (SABZI)
DUDHI LOKHI,MIX VEGETABLE BIRYANI (SABZI)
